Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
GN3,NO,02/01/2012 00:00,13.10000,ug m-3,R
GN3,NO,03/01/2012 00:00,11.80000,ug m-3,R
GN3,NO,04/01/2012 00:00,15.80000,ug m-3,R
GN3,NO,05/01/2012 00:00,19.10000,ug m-3,R
GN3,NO,06/01/2012 00:00,48.50000,ug m-3,R
GN3,NO,07/01/2012 00:00,25.50000,ug m-3,R
GN3,NO,08/01/2012 00:00,25.80000,ug m-3,R
GN3,NO,09/01/2012 00:00,32.30000,ug m-3,R
GN3,NO,10/01/2012 00:00,32.30000,ug m-3,R
GN3,NO,11/01/2012 00:00,38.00000,ug m-3,R
GN3,NO,12/01/2012 00:00,28.90000,ug m-3,R
GN3,NO,13/01/2012 00:00,73.50000,ug m-3,R
GN3,NO,14/01/2012 00:00,204.89999,ug m-3,R
GN3,NO,15/01/2012 00:00,80.40000,ug m-3,R
GN3,NO,16/01/2012 00:00,156.70000,ug m-3,R
GN3,NO,17/01/2012 00:00,165.39999,ug m-3,R
GN3,NO,18/01/2012 00:00,24.20000,ug m-3,R
GN3,NO,19/01/2012 00:00,30.90000,ug m-3,R
GN3,NO,20/01/2012 00:00,28.30000,ug m-3,R
GN3,NO,21/01/2012 00:00,20.10000,ug m-3,R
GN3,NO,22/01/2012 00:00,17.50000,ug m-3,R
GN3,NO,23/01/2012 00:00,50.90000,ug m-3,R
GN3,NO,24/01/2012 00:00,66.00000,ug m-3,R
GN3,NO,25/01/2012 00:00,26.90000,ug m-3,R
GN3,NO,26/01/2012 00:00,23.90000,ug m-3,R
GN3,NO,27/01/2012 00:00,41.10000,ug m-3,R
GN3,NO,28/01/2012 00:00,9.60000,ug m-3,R
GN3,NO,29/01/2012 00:00,10.20000,ug m-3,R
GN3,NO,30/01/2012 00:00,17.20000,ug m-3,R
GN3,NO,31/01/2012 00:00,32.10000,ug m-3,R
GN3,NO,01/02/2012 00:00,7.20000,ug m-3,R
GN3,NO,02/02/2012 00:00,6.60000,ug m-3,R
GN3,NO,03/02/2012 00:00,43.60000,ug m-3,R
GN3,NO,04/02/2012 00:00,64.90000,ug m-3,R
GN3,NO,05/02/2012 00:00,45.00000,ug m-3,R
GN3,NO,06/02/2012 00:00,85.10000,ug m-3,R
GN3,NO,07/02/2012 00:00,45.10000,ug m-3,R
GN3,NO,08/02/2012 00:00,5.80000,ug m-3,R
GN3,NO,09/02/2012 00:00,42.20000,ug m-3,R
GN3,NO,10/02/2012 00:00,45.90000,ug m-3,R
GN3,NO,11/02/2012 00:00,54.70000,ug m-3,R
GN3,NO,12/02/2012 00:00,86.90000,ug m-3,R
GN3,NO,13/02/2012 00:00,52.30000,ug m-3,R
GN3,NO,14/02/2012 00:00,19.80000,ug m-3,R
GN3,NO,15/02/2012 00:00,15.70000,ug m-3,R
GN3,NO,16/02/2012 00:00,33.60000,ug m-3,R
GN3,NO,17/02/2012 00:00,27.70000,ug m-3,R
GN3,NO,18/02/2012 00:00,14.90000,ug m-3,R
